ArmyRef,VarCount,GroupName
III/28,1,CAROLINGIAN FRANKISH 639AD - 888AD
III/29,1,THEMATIC BYZANTINE 650AD - 963AD
III/30,2,MAGYAR 650AD - 1003AD
III/31,1,UMAYYAD ARAB 661AD - 750AD
III/32,1,VOLGA BULGAR 675AD - 1237AD
III/33,1,EARLY MUSLIM NORTH AFRICA & SICILY 696AD - 1160AD
III/34,2,ANDALUSIAN 710AD - 1172AD
III/35,3,FEUDAL SPANISH 718AD - 1340AD
III/36,1,NAN-CHAO & TA-LI 728AD - 1382AD
III/37,2,ABBASID ARAB 747AD - 945AD
III/38,1,ARAB INDIAN 751AD - 1206AD
III/39,1,LATE TANG & FIVE DYNASTIES CHINESE 755AD - 979AD
III/40,3,NORSE VIKING & LEIDANG 790AD - 1280AD
III/41,2,CHICHIMEC & PUEBLO CULTURES 800AD - 1500AD
III/42,2,SHA-T'O TURKISH 808AD - 951AD
III/43,3,KHURASANIAN 821AD -1073AD
III/44,1,TRIBAL MONGOLIAN 840AD - 1218AD
III/45,1,PRE-FEUDAL SCOTS 842AD - 1124AD
III/46,1,NORSE IRISH 842AD - 1300AD
III/47,1,PECHENEG 850AD - 1122AD
III/48,1,RUS 860AD - 1054AD
III/49,1,TULUNID OR IQSHIDID EGYPTIAN 868AD - 905AD & 935AD - 969AD
III/50,1,ZANJ REVOLT 869AD - 883AD
III/51,1,BAGRATID ARMENIAN 885AD - 1045AD
III/52,1,WEST FRANKISH & NORMAN 888AD - 1072AD
III/53,1,EAST FRANKISH 888AD - 1106AD
III/54,2,DYNASTIC BEDOUIN 890AD - 1150AD & QARAMITA 897AD - 1078AD
III/55,1,EARLY SAMURAI 900AD - 1300AD
III/56,1,KHITAN-LIAO 907AD - 1125AD
III/57,1,KORYO DYNASTY KOREAN 918AD - 1392AD
III/58,3,BUYID OR OTHER DAILAMI DYNASTIES 927AD - 1090AD
III/59,1,TOLTEC 930AD - 1168AD
III/60,1,MEDIEVAL VIETNAMESE 939AD - 1527AD
III/61,1,DYNASTIC KURDISH 950AD - 1085AD
III/62,2,SUNG CHINESE 960AD - 1279AD
III/63,2,EARLY POLISH 960AD - 1335AD
III/64,2,GHAZNAVID 962AD - 1186AD
III/65,1,NIKEPHORIAN BYZANTINE 963AD - 1042AD
III/66,1,FATIMID EGYPTIAN 969AD - 1171AD
III/67,1,HSI-HSIA 982AD - 1227AD
III/68,2,EARLY HUNGARIAN 997AD - 1245AD
III/69,1,WESTERN SUDANESE 1000AD - 1591AD
III/70,1,TUAREG 1000AD - 1880AD
III/71,3,GEORGIAN 1008AD - 1683AD
III/72,1,ANGLO-DANISH 1014AD - 1075AD
III/73,2,COMMUNAL ITALIAN 1029AD - 1320AD
III/74,2,SELJUQ TURK 1037AD - 1276AD
III/75,1,ISLAMIC BERBER 1039AD - 1529AD
III/76,1,KONSTANTINIAN BYZANTINE 1042AD - 1073AD
III/77,1,PAPAL ITALIAN 1049AD - 1320AD
III/78,1,SCOTS ISLES & HIGHLANDS 1050AD - 1493AD
III/79,1,EARLY RUSSIAN 1054AD - 1246AD
III/80,1,CUMAN (KIPCHAK) 1054AD - 1394AD
IV/1,2,KOMNENAN BYZANTINE 1071AD - 1204AD
IV/2,1,CILICIAN ARMENIAN 1071AD - 1375AD
IV/3,1,ANGLO-NORMAN 1072AD - 1181AD
IV/4,2,FEUDAL FRENCH 1072AD - 1330AD
IV/5,3,SICILIAN 1072AD - 1266AD & 1282AD - 1442AD
IV/6,3,SYRIAN 1092AD - 1286AD
IV/7,1,EARLY CRUSADER 1096AD - 1128AD
IV/8,1,GHURID 1100AD - 1222AD
IV/9,1,EASTERN FOREST AMERICAN CIRCA 1100AD - 1620AD
IV/10,1,MOUND BUILDER AMERICAN CIRCA 1100AD - 1701AD
IV/11,1,NORTH-WESTERN AMERICAN CIRCA 1100AD - 1770AD
IV/12,5,POLYNESIAN & MELANESIAN CIRCA 1100AD - 1785AD
IV/13,5,MEDIEVAL GERMAN 1106AD - 1518AD
IV/14,2,JURCHEN-CHIN 1114AD - 1234AD
IV/15,1,QARA-KHITAN 1124AD - 1211AD
IV/16,1,SCOTS COMMON ARMY 1124AD - 1513AD
IV/17,1,LATER CRUSADER 1128AD - 1303AD
IV/18,1,LITHUANIAN & SAMOGITIAN 1132AD - 1515AD
IV/19,3,TARASCAN\, TOLTEC-CHICHIMEC & CHINANTEC 1168AD - 1521AD
IV/20,1,AYYUBID EGYPTIAN 1171AD - 1250AD
IV/21,3,ANGLO-IRISH 1172AD - 1515AD
IV/22,1,SERBIAN EMPIRE 1180AD - 1459AD
IV/23,1,FEUDAL ENGLISH 1181AD - 1322AD
IV/24,2,KHWARIZMIAN 1186AD - 1246AD
IV/25,1,LATER BULGAR 1186AD -1395AD
IV/26,1,LUSIGNAN CYPRIOT 1192AD - 1489AD
IV/27,1,ESTONIAN 1200AD - 1227AD
IV/28,1,PRUSSIAN 1200AD - 1283AD
IV/29,1,TUPI CIRCA 1200AD - 1601AD
IV/30,1,TEUTONIC ORDERS 1201AD - 1525AD
IV/31,1,NIKAIAN BYZANTINE 1204AD - 1261AD
IV/32,1,ROMANIAN FRANK 1204AD - 1432AD
IV/33,1,EPIROT BYZANTINE 1204AD - 1340AD
IV/34,1,TRAPEZUNTINE BYZANTINE 1204AD - 1461AD
IV/35,1,MONGOL CONQUEST 1206AD - 1266AD
IV/36,2,LATER MUSLIM INDIAN 1206AD - 1526AD
IV/37,4,INDONESIAN & MALAY 1222AD - 1511AD
IV/38,1,MURCIAN & GRANADINE 1228AD - 1492AD
IV/39,3,NAVARRESE 1234AD - 1430AD
IV/40,1,SIAMESE 1234AD - 1518AD
IV/41,1,EARLY SWISS 1240AD - 1400AD
IV/42,1,ISLAMIC PERSIAN 1245AD -1393AD & 1499AD - 1520AD
IV/43,3,LATER HUNGARIAN 1245AD - 1526AD
IV/44,2,POST-MONGOL RUSSIAN 1246AD -1533AD
IV/45,1,MAMLUK EGYPTIAN 1250AD - 1517AD
IV/46,1,ILKHANID 1251AD - 1355AD
IV/47,1,GOLDEN HORDE & SUCCESSORS 1251AD - 1556AD
IV/48,1,YUAN CHINESE 1260AD - 1368AD
IV/49,1,ANATOLIAN TURKOMAN 1260AD - 1515AD
IV/50,1,PALAIOLOGAN BYZANTINE 1261AD - 1384AD
IV/51,2,MOREAN BYZANTINE 1262AD - 1460AD
IV/52,1,LATER NOMADIC MONGOL 1266AD - 1508AD
IV/53,1,MIXTEC\, ZAPOTEC & WEST MEXICAN 1280AD - 1521AD
IV/54,4,MEDIEVAL SCANDINAVIAN 1280AD - 1523AD
IV/55,2,OTTOMAN 1281AD - 1520AD
IV/56,1,ORDER OF ST JOHN 1291AD - 1522AD
IV/57,3,LOW COUNTRIES 1297AD - 1478AD
IV/58,1,MEDIEVAL IRISH 1300AD - 1515AD
IV/59,2,POST-MONGOL SAMURAI 1300AD - 1542AD
IV/60,1,CATALAN COMPANY 1302AD - 1388AD
IV/61,1,ITALIAN CONDOTTA 1320AD - 1515AD
IV/62,4,ONE HUNDRED YEAR'S WAR ENGLISH 1322AD - 1455AD
IV/63,1,AZTEC 1325AD - 1521AD
IV/64,3,MEDIEVAL FRENCH 1330AD - 1445AD
IV/65,1,WALLACHIAN & MOLDAVIAN 1330AD -1517AD
IV/66,1,LATER POLISH 1335AD - 1515AD
IV/67,1,JALAYIRID 1336AD - 1432AD
IV/68,6,MEDIEVAL SPANISH & PORTUGUESE 1340AD - 1515AD
IV/69,1,ALBANIAN 1345AD - 1430AD & 1443AD - 1479AD
IV/70,1,CHANCA 1350AD - 1440AD and CANARI 1350AD - 1470AD
IV/71,2,CHIMU & COASTAL PERUVIAN 1350AD - 1490AD
IV/72,1,AMAZONIAN 1350AD - 1662AD
IV/73,1,MING CHINESE 1350AD - 1598AD
IV/74,1,FREE COMPANY & ARMAGNAC 1357AD - 1410AD & 1444AD
IV/75,1,TIMURID 1360AD - 1506AD
